Scenario,Nodes,Method,Train Time,Infer Time,Total Time,MSE,MAE,Incoherence,Result
S3,272,GS_GLS,0.27921152114868164,0.007208824157714844,0.2864203453063965,0.7923303927275637,0.7096113154446393,0.0,
M1,142,OLS,0.0,0.004003286361694336,0.004003286361694336,0.9555822828542141,0.7734691306209657,0.0,
M1,142,WLS_Struct,0.0,0.0022110939025878906,0.0022110939025878906,2.061642076375615,1.0005719080597766,0.0,
M1,142,MinT_Sample,0.21034002304077148,0.005002737045288086,0.21534276008605957,1.1503837844741776,0.8541790394776363,0.0,
M1,142,MinT_Shrink,0.13208508491516113,0.0075931549072265625,0.1396782398223877,0.9557208454232455,0.7734191234261131,0.0,
M1,142,GS_GLS,0.2436997890472412,0.0020017623901367188,0.24570155143737793,0.7417492084638149,0.6882960304208257,0.0,
M2,142,OLS,0.0,0.0,0.0,0.9555822828542141,0.7734691306209657,0.0,
M2,142,WLS_Struct,0.0,0.008224010467529297,0.008224010467529297,2.061642076375615,1.0005719080597766,0.0,
M2,142,MinT_Sample,0.32393789291381836,0.0,0.32393789291381836,1.1503837844741776,0.8541790394776363,0.0,
M2,142,MinT_Shrink,0.13930249214172363,0.008006811141967773,0.1473093032836914,0.9557208454232455,0.7734191234261131,0.0,
M2,142,GS_GLS,0.16220331192016602,0.0,0.16220331192016602,0.7417492084638149,0.6882960304208257,0.0,
M3,369,OLS,0.0,0.03181171417236328,0.03181171417236328,0.981031042180638,0.7816716590015631,0.0,
M3,369,WLS_Struct,0.0,0.0,0.0,2.9615066813659943,1.0673805815344954,0.0,
M3,369,MinT_Sample,2.868481397628784,0.09866690635681152,2.9671483039855957,1.1111746319914626,0.836903909792287,0.0,
M3,369,MinT_Shrink,3.6545746326446533,0.12692737579345703,3.7815020084381104,0.9850060926317177,0.7832758948423426,0.0,
M3,369,GS_GLS,1.268836259841919,0.015403985977172852,1.2842402458190918,0.7552919558184332,0.6922456574337668,0.0,
M4,369,OLS,0.0,0.016186237335205078,0.016186237335205078,0.981031042180638,0.7816716590015631,0.0,
M4,369,WLS_Struct,0.0,0.010583639144897461,0.010583639144897461,2.9615066813659943,1.0673805815344954,0.0,
M4,369,MinT_Sample,2.6709322929382324,0.09218001365661621,2.7631123065948486,1.1111746319914626,0.836903909792287,0.0,
M4,369,MinT_Shrink,2.312101125717163,0.0944364070892334,2.4065375328063965,0.9850060926317177,0.7832758948423426,0.0,
M4,369,GS_GLS,0.4049489498138428,0.014559507369995117,0.4195084571838379,0.7552919558184332,0.6922456574337668,0.0,
L1,425,OLS,0.0,0.03219175338745117,0.03219175338745117,0.9374328189793681,0.7675929902679176,0.0,
L1,425,WLS_Struct,0.0,0.010567188262939453,0.010567188262939453,2.2859507277334616,1.0244431125407165,0.0,
L1,425,MinT_Sample,4.033867120742798,0.13267254829406738,4.166539669036865,1.0235700134481363,0.8061905532894599,0.0,
L1,425,MinT_Shrink,2.438979148864746,0.12180829048156738,2.5607874393463135,0.9434945728962558,0.7698048943364638,0.0,
L1,425,GS_GLS,0.48142361640930176,0.01858210563659668,0.5000057220458984,0.7239487791118797,0.6789059943535678,0.0,
L2,425,OLS,0.0,0.018169164657592773,0.018169164657592773,0.9374328189793681,0.7675929902679176,0.0,
L2,425,WLS_Struct,0.0,0.01620173454284668,0.01620173454284668,2.2859507277334616,1.0244431125407165,0.0,
L2,425,MinT_Sample,3.5704381465911865,0.1323249340057373,3.702763080596924,1.0235700134481363,0.8061905532894599,0.0,
L2,425,MinT_Shrink,2.4209506511688232,0.12546253204345703,2.5464131832122803,0.9434945728962558,0.7698048943364638,0.0,
L2,425,GS_GLS,0.49415111541748047,0.020203828811645508,0.514354944229126,0.7239487791118797,0.6789059943535678,0.0,
L3,425,OLS,0.0,0.01867508888244629,0.01867508888244629,0.9374328189793681,0.7675929902679176,0.0,
L3,425,WLS_Struct,0.0,0.007004261016845703,0.007004261016845703,2.2859507277334616,1.0244431125407165,0.0,
L3,425,MinT_Sample,3.574434995651245,0.12355852127075195,3.697993516921997,1.0235700134481363,0.8061905532894599,0.0,
L3,425,MinT_Shrink,3.608881711959839,0.14501166343688965,3.7538933753967285,0.9434945728962558,0.7698048943364638,0.0,
L3,425,GS_GLS,1.637326955795288,0.015635013580322266,1.6529619693756104,0.7239487791118797,0.6789059943535678,0.0,
L4,1463,OLS,0.0,0.3251912593841553,0.3251912593841553,0.9734101674098101,0.7788857382837062,0.0,
L4,1463,WLS_Struct,0.0,0.16137957572937012,0.16137957572937012,3.1317795141604154,1.0709977941772988,0.0,
L4,1463,MinT_Sample,139.70087933540344,1.413820505142212,141.11469984054565,1.0210797516089785,0.7993318344275933,0.0,
L4,1463,MinT_Shrink,90.57084441184998,1.4490482807159424,92.01989269256592,0.9794188654241692,0.7812945860488119,0.0,
L4,1463,GS_GLS,3.7785873413085938,0.2346022129058838,4.0131895542144775,0.7525428615612167,0.691226551219133,0.0,
XL1,1265,OLS,0.0,0.19990015029907227,0.19990015029907227,0.9447508907118323,0.7689571444897833,0.0,
XL1,1265,WLS_Struct,0.0,0.09982156753540039,0.09982156753540039,2.5494803236105237,1.037016143673107,0.0,
XL1,1265,MinT_Sample,74.22888255119324,1.094106912612915,75.32298946380615,0.9781492303432904,0.7838231513724726,0.0,
XL1,1265,MinT_Shrink,50.9727418422699,1.0582733154296875,52.031015157699585,0.9488453535296365,0.7705947066325167,0.0,
XL1,1265,GS_GLS,2.964681625366211,0.13169598579406738,3.0963776111602783,0.7302303258903837,0.681711960958858,0.0,
XL2,1265,OLS,0.0,0.2003486156463623,0.2003486156463623,0.9447508907118323,0.7689571444897833,0.0,
XL2,1265,WLS_Struct,0.0,0.5686445236206055,0.5686445236206055,2.5494803236105237,1.037016143673107,0.0,
XL2,1265,MinT_Sample,72.17702841758728,1.0536272525787354,73.23065567016602,0.9781492303432904,0.7838231513724726,0.0,
XL2,1265,MinT_Shrink,51.35161733627319,1.1059434413909912,52.457560777664185,0.9488453535296365,0.7705947066325167,0.0,
XL2,1265,GS_GLS,2.9112179279327393,0.13199949264526367,3.043217420578003,0.7302303258903837,0.681711960958858,0.0,
XL3,1265,OLS,0.0,0.19422459602355957,0.19422459602355957,0.9447508907118323,0.7689571444897833,0.0,
XL3,1265,WLS_Struct,0.0,0.10091447830200195,0.10091447830200195,2.5494803236105237,1.037016143673107,0.0,
XL3,1265,MinT_Sample,72.07663035392761,1.0742337703704834,73.1508641242981,0.9781492303432904,0.7838231513724726,0.0,
XL3,1265,MinT_Shrink,50.76847434043884,1.0558111667633057,51.82428550720215,0.9488453535296365,0.7705947066325167,0.0,
XL3,1265,GS_GLS,3.243967056274414,0.14037561416625977,3.384342670440674,0.7302303258903837,0.681711960958858,0.0,
XXL1,5874,OLS,,,,,,,Error: SVD did not converge
XXL1,5874,WLS_Struct,0.0,9.105188846588135,9.105188846588135,3.461906658543927,1.0781643464622375,0.0,
XXL1,5874,MinT_Sample,,,,,,,OOM
XXL1,5874,MinT_Shrink,,,,,,,OOM
XXL1,5874,GS_GLS,69.38978624343872,4.350568532943726,73.74035477638245,0.7524420545087918,0.6914257858575518,0.0,
XXL2,3806,OLS,0.0,5.685986280441284,5.685986280441284,0.9350841902098166,0.7651707594508119,0.0,
XXL2,3806,WLS_Struct,0.0,2.320878505706787,2.320878505706787,2.640389204085653,1.0330039641908908,0.0,
XXL2,3806,MinT_Sample,,,,,,,OOM
XXL2,3806,MinT_Shrink,,,,,,,OOM
XXL2,3806,GS_GLS,24.49944829940796,1.542283535003662,26.04173183441162,0.7246586660899035,0.6787927128993371,0.0,
XXL3,3806,OLS,0.0,5.51450777053833,5.51450777053833,0.9350841902098166,0.7651707594508119,0.0,
XXL3,3806,WLS_Struct,0.0,1.8679983615875244,1.8679983615875244,2.640389204085653,1.0330039641908908,0.0,
XXL3,3806,MinT_Sample,,,,,,,OOM
XXL3,3806,MinT_Shrink,,,,,,,OOM
XXL3,3806,GS_GLS,26.250130653381348,1.6065778732299805,27.856708526611328,0.7246586660899035,0.6787927128993371,0.0,
Mega,3806,OLS,0.0,5.303198337554932,5.303198337554932,0.9350841902098166,0.7651707594508119,0.0,
Mega,3806,WLS_Struct,0.0,1.8868184089660645,1.8868184089660645,2.640389204085653,1.0330039641908908,0.0,
Mega,3806,MinT_Sample,,,,,,,OOM
Mega,3806,MinT_Shrink,,,,,,,OOM
Mega,3806,GS_GLS,27.933760404586792,1.4001822471618652,29.333942651748657,0.7246586660899035,0.6787927128993371,0.0,
